1903,Winner,Maurice Garin,France
1903,Climber,none,none
1903,Sprinter,none,none
1904,Winner,Henri Cornet,France
1904,Climber,none,none
1904,Sprinter,none,none
1905,Winner,Louis Trousselier,France
1905,Climber,René Cottier,France
1905,Sprinter,none,none
1906,Winner,René Pottier,France
1906,Climber,René Cottier,France
1906,Sprinter,none,none
1907,Winner,Lucien Petit-Breton,France
1907,Climber,Emile Georget,France
1907,Sprinter,none,none
1908,Winner,Lucien Petit-Breton,France
1908,Climber,Gustave Garrigou,France
1908,Sprinter,none,none
1909,Winner,François Faber,Luxembourg
1909,Climber,François Faber,Luxembourg
1909,Sprinter,none,none
1910,Winner,Octave Lapize,France
1910,Climber,Octave Lapize,France
1910,Sprinter,none,none
1911,Winner,Gustave Garrigou,France
1911,Climber,Paul Duboc,France
1911,Sprinter,none,none
1912,Winner,Odile Defraye,Belgique
1912,Climber,Odile Defray,Belgique
1912,Sprinter,none,none
1913,Winner,Philippe Thys,Belgique
1913,Climber,Philippe Thys,Belgique
1913,Sprinter,none,none
1914,Winner,Philippe Thys,Belgique
1914,Climber,Firmin Lambot,Belgique
1914,Sprinter,none,none
1915,Winner,WWI,none
1915,Climber,WWI,none
1915,Sprinter,WWI,none
1916,Winner,WWI,none
1916,Climber,WWI,none
1916,Sprinter,WWI,none
1917,Winner,WWI,none
1917,Climber,WWI,none
1917,Sprinter,WWI,none
1918,Winner,WWI,none
1918,Climber,WWI,none
1918,Sprinter,WWI,none
1919,Winner,Firmin Lambot,Belgique
1919,Climber,Honoré Barthélémy,France
1919,Sprinter,none,none
1920,Winner,Philippe Thys,Belgique
1920,Climber,Firmin Lambot,Belgique
1920,Sprinter,none,none
1921,Winner,Léon Scieur,Belgique
1921,Climber,Hector Heusghem,Belgique
1921,Sprinter,none,none
1922,Winner,Firmin Lambot,Belgique
1922,Climber,Jean Alavoine,France
1922,Sprinter,none,none
1923,Winner,Henri Pélissier,France
1923,Climber,Henri Pélissier,France
1923,Sprinter,none,none
1924,Winner,Ottavio Bottecchia,Italie
1924,Climber,Ottavio Bottecchia,Italie
1924,Sprinter,none,none
1925,Winner,Ottavio Bottecchia,Italie
1925,Climber,Ottavio Bottecchia,Italie
1925,Sprinter,none,none
1926,Winner,Lucien Buysse,Belgique
1926,Climber,Lucien Buysse,Belgique
1926,Sprinter,none,none
1927,Winner,Nicolas Frantz,Luxembourg
1927,Climber,Michele Gordini,Italie
1927,Sprinter,none,none
1928,Winner,Nicolas Frantz,Luxembourg
1928,Climber,Victor Fontan,France
1928,Sprinter,none,none
1929,Winner,Maurice De Waele,Belgique
1929,Climber,Victor Fontan,France
1929,Sprinter,none,none
1930,Winner,André Leducq,France
1930,Climber,Benoît Faure,France
1930,Sprinter,none,none
1931,Winner,Antonin Magne,France
1931,Climber,Jef Demuysere,Belgique
1931,Sprinter,none,none
1932,Winner,André Leducq,France
1932,Climber,Vicente Trueba,Espagne
1932,Sprinter,none,none
1933,Winner,Georges Speicher,France
1933,Climber,Vicente Trueba,Espagne
1933,Sprinter,none,none
1934,Winner,Antonin Magne,France
1934,Climber,René Vietto,France
1934,Sprinter,none,none
1935,Winner,Romain Maes,Belgique
1935,Climber,Félicien Vervaecke,Belgique
1935,Sprinter,none,none
1936,Winner,Sylvère Maes,Belgique
1936,Climber,Julián Berrendero,Espagne
1936,Sprinter,none,none
1937,Winner,Roger Lapébie,France
1937,Climber,Félicien Vervaecke,Belgique
1937,Sprinter,none,none
1938,Winner,Gino Bartali,Italie
1938,Climber,Gino Bartali,Italie
1938,Sprinter,none,none
1939,Winner,Sylvère Maes,Belgique
1939,Climber,Sylvère Maes,Belgique
1939,Sprinter,none,none
1940,Winner,WWII,none
1940,Climber,WWII,none
1940,Sprinter,WWII,none
1941,Winner,WWII,none
1941,Climber,WWII,none
1941,Sprinter,WWII,none
1942,Winner,WWII,none
1942,Climber,WWII,none
1942,Sprinter,WWII,none
1943,Winner,WWII,none
1943,Climber,WWII,none
1943,Sprinter,WWII,none
1944,Winner,WWII,none
1944,Climber,WWII,none
1944,Sprinter,WWII,none
1945,Winner,WWII,none
1945,Climber,WWII,none
1945,Sprinter,WWII,none
1946,Winner,WWII,none
1946,Climber,WWII,none
1946,Sprinter,WWII,none
1947,Winner,Jean Robic,France
1947,Climber,Pierre Brambilla,Italie
1947,Sprinter,none,none
1948,Winner,Gino Bartali,Italie
1948,Climber,Gino Bartali,Italie
1948,Sprinter,none,none
1949,Winner,Fausto Coppi,Italie
1949,Climber,Fausto Coppi,Italie
1949,Sprinter,none,none
1950,Winner,Ferdi Kübler,Suisse
1950,Climber,Louison Bobet,France
1950,Sprinter,none,none
1951,Winner,Hugo Koblet,Suisse
1951,Climber,Raphaël Géminiani,France
1951,Sprinter,none,none
1952,Winner,Fausto Coppi,Italie
1952,Climber,Fausto Coppi,Italie
1952,Sprinter,none,none
1953,Winner,Louison Bobet,France
1953,Climber,Jesús Loroño,Espagne
1953,Sprinter,Fritz Schaer,Suisse
1954,Winner,Louison Bobet,France
1954,Climber,Federico Bahamontes,Espagne
1954,Sprinter,Ferdi Kübler,Suisse
1955,Winner,Louison Bobet,France
1955,Climber,Charly Gaul,Luxembourg
1955,Sprinter,Stan Ockers,Belgique
1956,Winner,Roger Walkowiak,France
1956,Climber,Charly Gaul,Luxembourg
1956,Sprinter,Stan Ockers,Belgique
1957,Winner,Jacques Anquetil,France
1957,Climber,Gastone Nencini,Italie
1957,Sprinter,Jean Forestier,France
1958,Winner,Charly Gaul,Luxembourg
1958,Climber,Federico Bahamontes,Espagne
1958,Sprinter,Jean Graczyk,France
1959,Winner,Federico Bahamontes,Espagne
1959,Climber,Federico Bahamontes,Espagne
1959,Sprinter,André Darrigade,France
1960,Winner,Gastone Nencini,Italie
1960,Climber,Imerio Massignan,Italie
1960,Sprinter,Jean Graczyk,France
1961,Winner,Jacques Anquetil,France
